g_country_id|g_entity_id|gf_entity_id|gf_cutoff_date|g_energy_id|gf_province_id|g_cons_range_id|g_applied_taxes_type|gf_household_ind_type|gf_low_lm_cons_range_number|gf_upp_lm_cons_range_number|g_currency_id|gf_cons_unit_energy_cst_amount|gf_audit_project_id|gf_audit_project_name|gf_audit_date
MX|MX0074|0074|2022-07-01|LUZ|0|49|3|1|000001034.000|000001064.000|MXN|00000000000000000002.970000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|50|3|1|000001064.000|000001094.000|MXN|00000000000000000002.980000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|51|3|1|000001094.000|000001124.000|MXN|00000000000000000002.990000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|52|3|1|000001124.000|000001154.000|MXN|00000000000000000002.990000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|53|3|1|000001154.000|000001184.000|MXN|00000000000000000003.000000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|54|3|1|000001184.000|000001214.000|MXN|00000000000000000003.010000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|55|3|1|000001214.000|000001244.000|MXN|00000000000000000003.010000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|56|3|1|000001244.000|000001274.000|MXN|00000000000000000003.020000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|57|3|1|000001274.000|000001304.000|MXN|00000000000000000003.020000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|58|3|1|000001304.000|000001334.000|MXN|00000000000000000003.030000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|59|3|1|000001334.000|000001364.000|MXN|00000000000000000003.030000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|60|3|1|000001364.000|000001394.000|MXN|00000000000000000003.040000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|61|3|1|000001394.000|000001424.000|MXN|00000000000000000003.040000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-07-01 00:00:00
MX|MX0074|0074|2022-07-01|LUZ|0|62|3|1|000001424.000|000000000.000|MXN|00000000000000000003.250000|SDATOOL-39033|SOSTENIBILIDAD - HUELLA DE CARBONO MX|2022-05-01 00:00:00
